# Does a safe fifth card beat standing at four? Output is predicted leak - lower is better.
# A safe miss neither busts nor reaches 21. Placement is optimised over socket choices on BOTH sides.
arm,fourCardHand,fourCardTotal,fifthRank,fiveCardTotal,standLeak,hitLeak,delta,verdict
A,A+2+4+5,12,3,15,17.0,11.0,-6.0,HIT BETTER
A,A+2+4+5,12,4,16,17.0,6.0,-11.0,HIT BETTER
A,A+2+4+5,12,5,17,17.0,3.0,-14.0,HIT BETTER
A,A+2+4+5,12,6,18,17.0,2.0,-15.0,HIT BETTER
A,A+2+4+5,12,7,19,17.0,0.0,-17.0,HIT BETTER
A,A+2+4+5,12,8,20,17.0,0.0,-17.0,HIT BETTER
A,A+2+4+6,13,A,14,17.0,17.0,0.0,no difference
A,A+2+4+6,13,2,15,17.0,12.0,-5.0,HIT BETTER
A,A+2+4+6,13,3,16,17.0,10.0,-7.0,HIT BETTER
A,A+2+4+6,13,4,17,17.0,5.0,-12.0,HIT BETTER
A,A+2+4+6,13,5,18,17.0,2.0,-15.0,HIT BETTER
A,A+2+4+6,13,6,19,17.0,1.0,-16.0,HIT BETTER
A,A+2+4+6,13,7,20,17.0,0.0,-17.0,HIT BETTER
A,A+2+4+7,14,A,15,14.0,10.0,-4.0,HIT BETTER
A,A+2+4+7,14,2,16,14.0,9.0,-5.0,HIT BETTER
A,A+2+4+7,14,3,17,14.0,5.0,-9.0,HIT BETTER
A,A+2+4+7,14,4,18,14.0,2.0,-12.0,HIT BETTER
A,A+2+4+7,14,5,19,14.0,0.0,-14.0,HIT BETTER
A,A+2+4+7,14,6,20,14.0,0.0,-14.0,HIT BETTER
A,A+2+4+8,15,A,16,11.0,8.0,-3.0,HIT BETTER
A,A+2+4+8,15,2,17,11.0,6.0,-5.0,HIT BETTER
A,A+2+4+8,15,3,18,11.0,2.0,-9.0,HIT BETTER
A,A+2+4+8,15,4,19,11.0,0.0,-11.0,HIT BETTER
A,A+2+4+8,15,5,20,11.0,0.0,-11.0,HIT BETTER
A,A+2+4+9,16,A,17,8.0,6.0,-2.0,HIT BETTER
A,A+2+4+9,16,2,18,8.0,2.0,-6.0,HIT BETTER
A,A+2+4+9,16,3,19,8.0,0.0,-8.0,HIT BETTER
A,A+2+4+9,16,4,20,8.0,0.0,-8.0,HIT BETTER
A,A+2+4+10,17,A,18,1.0,2.0,1.0,stand better
A,A+2+4+10,17,2,19,1.0,0.0,-1.0,HIT BETTER
A,A+2+4+10,17,3,20,1.0,0.0,-1.0,HIT BETTER
A,A+2+4+J,17,A,18,1.0,2.0,1.0,stand better
A,A+2+4+J,17,2,19,1.0,0.0,-1.0,HIT BETTER
A,A+2+4+J,17,3,20,1.0,0.0,-1.0,HIT BETTER
A,A+2+4+Q,17,A,18,1.0,2.0,1.0,stand better
A,A+2+4+Q,17,2,19,1.0,0.0,-1.0,HIT BETTER
A,A+2+4+Q,17,3,20,1.0,0.0,-1.0,HIT BETTER
A,A+2+4+K,17,A,18,1.0,1.0,0.0,no difference
A,A+2+4+K,17,2,19,1.0,0.0,-1.0,HIT BETTER
A,A+2+4+K,17,3,20,1.0,0.0,-1.0,HIT BETTER
A,A+2+5+5,13,A,14,17.0,15.0,-2.0,HIT BETTER
A,A+2+5+5,13,2,15,17.0,13.0,-4.0,HIT BETTER
A,A+2+5+5,13,3,16,17.0,10.0,-7.0,HIT BETTER
A,A+2+5+5,13,4,17,17.0,3.0,-14.0,HIT BETTER
A,A+2+5+5,13,6,19,17.0,0.0,-17.0,HIT BETTER
A,A+2+5+5,13,7,20,17.0,0.0,-17.0,HIT BETTER
A,A+2+5+6,14,A,15,11.0,9.0,-2.0,HIT BETTER
A,A+2+5+6,14,2,16,11.0,8.0,-3.0,HIT BETTER
A,A+2+5+6,14,3,17,11.0,7.0,-4.0,HIT BETTER
A,A+2+5+6,14,4,18,11.0,2.0,-9.0,HIT BETTER
A,A+2+5+6,14,5,19,11.0,0.0,-11.0,HIT BETTER
A,A+2+5+6,14,6,20,11.0,0.0,-11.0,HIT BETTER
A,A+2+5+7,15,A,16,9.0,9.0,0.0,no difference
A,A+2+5+7,15,2,17,9.0,7.0,-2.0,HIT BETTER
A,A+2+5+7,15,3,18,9.0,2.0,-7.0,HIT BETTER
A,A+2+5+7,15,4,19,9.0,0.0,-9.0,HIT BETTER
A,A+2+5+7,15,5,20,9.0,0.0,-9.0,HIT BETTER
A,A+2+5+8,16,A,17,7.0,7.0,0.0,no difference
A,A+2+5+8,16,2,18,7.0,0.0,-7.0,HIT BETTER
A,A+2+5+8,16,3,19,7.0,0.0,-7.0,HIT BETTER
A,A+2+5+8,16,4,20,7.0,0.0,-7.0,HIT BETTER
A,A+2+5+9,17,A,18,3.0,0.0,-3.0,HIT BETTER
A,A+2+5+9,17,2,19,3.0,0.0,-3.0,HIT BETTER
A,A+2+5+9,17,3,20,3.0,0.0,-3.0,HIT BETTER
A,A+2+5+10,18,A,19,0.0,0.0,0.0,no difference
A,A+2+5+10,18,2,20,0.0,0.0,0.0,no difference
A,A+2+5+J,18,A,19,0.0,0.0,0.0,no difference
A,A+2+5+J,18,2,20,0.0,0.0,0.0,no difference
A,A+2+5+Q,18,A,19,0.0,0.0,0.0,no difference
A,A+2+5+Q,18,2,20,0.0,0.0,0.0,no difference
A,A+2+5+K,18,A,19,0.0,0.0,0.0,no difference
A,A+2+5+K,18,2,20,0.0,0.0,0.0,no difference
A,A+2+6+6,15,A,16,12.0,9.0,-3.0,HIT BETTER
A,A+2+6+6,15,2,17,12.0,7.0,-5.0,HIT BETTER
A,A+2+6+6,15,3,18,12.0,2.0,-10.0,HIT BETTER
A,A+2+6+6,15,4,19,12.0,1.0,-11.0,HIT BETTER
A,A+2+6+6,15,5,20,12.0,0.0,-12.0,HIT BETTER
A,A+2+6+7,16,A,17,9.0,7.0,-2.0,HIT BETTER
A,A+2+6+7,16,2,18,9.0,2.0,-7.0,HIT BETTER
A,A+2+6+7,16,3,19,9.0,0.0,-9.0,HIT BETTER
A,A+2+6+7,16,4,20,9.0,0.0,-9.0,HIT BETTER
A,A+2+6+8,17,A,18,4.0,3.0,-1.0,HIT BETTER
A,A+2+6+8,17,2,19,4.0,0.0,-4.0,HIT BETTER
A,A+2+6+8,17,3,20,4.0,0.0,-4.0,HIT BETTER
A,A+2+6+9,18,A,19,1.0,0.0,-1.0,HIT BETTER
A,A+2+6+9,18,2,20,1.0,0.0,-1.0,HIT BETTER
A,A+2+6+10,19,A,20,0.0,0.0,0.0,no difference
A,A+2+6+J,19,A,20,0.0,0.0,0.0,no difference
A,A+2+6+Q,19,A,20,0.0,0.0,0.0,no difference
A,A+2+6+K,19,A,20,0.0,0.0,0.0,no difference
A,A+2+7+7,17,A,18,6.0,1.0,-5.0,HIT BETTER
A,A+2+7+7,17,2,19,6.0,0.0,-6.0,HIT BETTER
A,A+2+7+7,17,3,20,6.0,0.0,-6.0,HIT BETTER
A,A+2+7+8,18,A,19,1.0,1.0,0.0,no difference
A,A+2+7+8,18,2,20,1.0,0.0,-1.0,HIT BETTER
A,A+2+7+9,19,A,20,0.0,0.0,0.0,no difference
A,A+2+8+8,19,A,20,0.0,0.0,0.0,no difference
A,A+3+3+5,12,A,13,17.0,17.0,0.0,no difference
A,A+3+3+5,12,2,14,17.0,14.0,-3.0,HIT BETTER
A,A+3+3+5,12,4,16,17.0,8.0,-9.0,HIT BETTER
A,A+3+3+5,12,5,17,17.0,5.0,-12.0,HIT BETTER
A,A+3+3+5,12,6,18,17.0,1.0,-16.0,HIT BETTER
A,A+3+3+5,12,7,19,17.0,0.0,-17.0,HIT BETTER
A,A+3+3+5,12,8,20,17.0,0.0,-17.0,HIT BETTER
A,A+3+3+6,13,A,14,17.0,17.0,0.0,no difference
A,A+3+3+6,13,2,15,17.0,9.0,-8.0,HIT BETTER
A,A+3+3+6,13,4,17,17.0,6.0,-11.0,HIT BETTER
A,A+3+3+6,13,5,18,17.0,1.0,-16.0,HIT BETTER
A,A+3+3+6,13,6,19,17.0,0.0,-17.0,HIT BETTER
A,A+3+3+6,13,7,20,17.0,0.0,-17.0,HIT BETTER
A,A+3+3+7,14,A,15,14.0,13.0,-1.0,HIT BETTER
A,A+3+3+7,14,2,16,14.0,7.0,-7.0,HIT BETTER
A,A+3+3+7,14,4,18,14.0,1.0,-13.0,HIT BETTER
A,A+3+3+7,14,5,19,14.0,0.0,-14.0,HIT BETTER
A,A+3+3+7,14,6,20,14.0,0.0,-14.0,HIT BETTER
A,A+3+3+8,15,A,16,10.0,7.0,-3.0,HIT BETTER
A,A+3+3+8,15,2,17,10.0,2.0,-8.0,HIT BETTER
A,A+3+3+8,15,4,19,10.0,0.0,-10.0,HIT BETTER
A,A+3+3+8,15,5,20,10.0,0.0,-10.0,HIT BETTER
A,A+3+3+9,16,A,17,8.0,5.0,-3.0,HIT BETTER
A,A+3+3+9,16,2,18,8.0,1.0,-7.0,HIT BETTER
A,A+3+3+9,16,4,20,8.0,0.0,-8.0,HIT BETTER
A,A+3+3+10,17,A,18,1.0,2.0,1.0,stand better
A,A+3+3+10,17,2,19,1.0,0.0,-1.0,HIT BETTER
A,A+3+3+J,17,A,18,1.0,2.0,1.0,stand better
A,A+3+3+J,17,2,19,1.0,0.0,-1.0,HIT BETTER
A,A+3+3+Q,17,A,18,1.0,2.0,1.0,stand better
A,A+3+3+Q,17,2,19,1.0,0.0,-1.0,HIT BETTER
A,A+3+3+K,17,A,18,1.0,1.0,0.0,no difference
A,A+3+3+K,17,2,19,1.0,0.0,-1.0,HIT BETTER
A,A+3+4+4,12,A,13,18.0,17.0,-1.0,HIT BETTER
A,A+3+4+4,12,2,14,18.0,14.0,-4.0,HIT BETTER
A,A+3+4+4,12,3,15,18.0,10.0,-8.0,HIT BETTER
A,A+3+4+4,12,5,17,18.0,1.0,-17.0,HIT BETTER
A,A+3+4+4,12,6,18,18.0,1.0,-17.0,HIT BETTER
A,A+3+4+4,12,7,19,18.0,0.0,-18.0,HIT BETTER
A,A+3+4+4,12,8,20,18.0,0.0,-18.0,HIT BETTER
A,A+3+4+5,13,A,14,13.0,12.0,-1.0,HIT BETTER
A,A+3+4+5,13,2,15,13.0,11.0,-2.0,HIT BETTER
A,A+3+4+5,13,3,16,13.0,8.0,-5.0,HIT BETTER
A,A+3+4+5,13,4,17,13.0,1.0,-12.0,HIT BETTER
A,A+3+4+5,13,5,18,13.0,1.0,-12.0,HIT BETTER
A,A+3+4+5,13,6,19,13.0,0.0,-13.0,HIT BETTER
A,A+3+4+5,13,7,20,13.0,0.0,-13.0,HIT BETTER
A,A+3+4+6,14,A,15,13.0,13.0,0.0,no difference
A,A+3+4+6,14,2,16,13.0,10.0,-3.0,HIT BETTER
A,A+3+4+6,14,3,17,13.0,6.0,-7.0,HIT BETTER
A,A+3+4+6,14,4,18,13.0,1.0,-12.0,HIT BETTER
A,A+3+4+6,14,5,19,13.0,0.0,-13.0,HIT BETTER
A,A+3+4+6,14,6,20,13.0,0.0,-13.0,HIT BETTER
A,A+3+4+7,15,A,16,9.0,9.0,0.0,no difference
A,A+3+4+7,15,2,17,9.0,5.0,-4.0,HIT BETTER
A,A+3+4+7,15,3,18,9.0,1.0,-8.0,HIT BETTER
A,A+3+4+7,15,4,19,9.0,0.0,-9.0,HIT BETTER
A,A+3+4+7,15,5,20,9.0,0.0,-9.0,HIT BETTER
A,A+3+4+8,16,A,17,7.0,6.0,-1.0,HIT BETTER
A,A+3+4+8,16,2,18,7.0,2.0,-5.0,HIT BETTER
A,A+3+4+8,16,3,19,7.0,0.0,-7.0,HIT BETTER
A,A+3+4+8,16,4,20,7.0,0.0,-7.0,HIT BETTER
A,A+3+4+9,17,A,18,3.0,2.0,-1.0,HIT BETTER
A,A+3+4+9,17,2,19,3.0,0.0,-3.0,HIT BETTER
A,A+3+4+9,17,3,20,3.0,0.0,-3.0,HIT BETTER
A,A+3+4+10,18,A,19,1.0,0.0,-1.0,HIT BETTER
A,A+3+4+10,18,2,20,1.0,0.0,-1.0,HIT BETTER
A,A+3+4+J,18,A,19,1.0,0.0,-1.0,HIT BETTER
A,A+3+4+J,18,2,20,1.0,0.0,-1.0,HIT BETTER
A,A+3+4+Q,18,A,19,1.0,0.0,-1.0,HIT BETTER
A,A+3+4+Q,18,2,20,1.0,0.0,-1.0,HIT BETTER
A,A+3+4+K,18,A,19,1.0,0.0,-1.0,HIT BETTER
A,A+3+4+K,18,2,20,1.0,0.0,-1.0,HIT BETTER
A,A+3+5+5,14,A,15,15.0,14.0,-1.0,HIT BETTER
A,A+3+5+5,14,2,16,15.0,10.0,-5.0,HIT BETTER
A,A+3+5+5,14,3,17,15.0,5.0,-10.0,HIT BETTER
A,A+3+5+5,14,4,18,15.0,1.0,-14.0,HIT BETTER
A,A+3+5+5,14,6,20,15.0,0.0,-15.0,HIT BETTER
A,A+3+5+6,15,A,16,9.0,9.0,0.0,no difference
A,A+3+5+6,15,2,17,9.0,7.0,-2.0,HIT BETTER
A,A+3+5+6,15,3,18,9.0,1.0,-8.0,HIT BETTER
A,A+3+5+6,15,4,19,9.0,0.0,-9.0,HIT BETTER
A,A+3+5+6,15,5,20,9.0,0.0,-9.0,HIT BETTER
A,A+3+5+7,16,A,17,9.0,7.0,-2.0,HIT BETTER
A,A+3+5+7,16,2,18,9.0,2.0,-7.0,HIT BETTER
A,A+3+5+7,16,3,19,9.0,0.0,-9.0,HIT BETTER
A,A+3+5+7,16,4,20,9.0,0.0,-9.0,HIT BETTER
A,A+3+5+8,17,A,18,4.0,1.0,-3.0,HIT BETTER
A,A+3+5+8,17,2,19,4.0,0.0,-4.0,HIT BETTER
A,A+3+5+8,17,3,20,4.0,0.0,-4.0,HIT BETTER
A,A+3+5+9,18,A,19,0.0,0.0,0.0,no difference
A,A+3+5+9,18,2,20,0.0,0.0,0.0,no difference
A,A+3+5+10,19,A,20,0.0,0.0,0.0,no difference
A,A+3+5+J,19,A,20,0.0,0.0,0.0,no difference
A,A+3+5+Q,19,A,20,0.0,0.0,0.0,no difference
A,A+3+5+K,19,A,20,0.0,0.0,0.0,no difference
A,A+3+6+6,16,A,17,8.0,8.0,0.0,no difference
A,A+3+6+6,16,2,18,8.0,2.0,-6.0,HIT BETTER
A,A+3+6+6,16,3,19,8.0,0.0,-8.0,HIT BETTER
A,A+3+6+6,16,4,20,8.0,0.0,-8.0,HIT BETTER
A,A+3+6+7,17,A,18,6.0,2.0,-4.0,HIT BETTER
A,A+3+6+7,17,2,19,6.0,0.0,-6.0,HIT BETTER
A,A+3+6+7,17,3,20,6.0,0.0,-6.0,HIT BETTER
A,A+3+6+8,18,A,19,2.0,0.0,-2.0,HIT BETTER
A,A+3+6+8,18,2,20,2.0,0.0,-2.0,HIT BETTER
A,A+3+6+9,19,A,20,0.0,0.0,0.0,no difference
A,A+3+7+7,18,A,19,1.0,1.0,0.0,no difference
A,A+3+7+7,18,2,20,1.0,0.0,-1.0,HIT BETTER
A,A+3+7+8,19,A,20,0.0,0.0,0.0,no difference
A,A+4+4+5,14,A,15,13.0,11.0,-2.0,HIT BETTER
A,A+4+4+5,14,2,16,13.0,6.0,-7.0,HIT BETTER
A,A+4+4+5,14,3,17,13.0,1.0,-12.0,HIT BETTER
A,A+4+4+5,14,5,19,13.0,0.0,-13.0,HIT BETTER
A,A+4+4+5,14,6,20,13.0,0.0,-13.0,HIT BETTER
A,A+4+4+6,15,A,16,11.0,11.0,0.0,no difference
A,A+4+4+6,15,2,17,11.0,5.0,-6.0,HIT BETTER
A,A+4+4+6,15,3,18,11.0,1.0,-10.0,HIT BETTER
A,A+4+4+6,15,5,20,11.0,0.0,-11.0,HIT BETTER
A,A+4+4+7,16,A,17,9.0,8.0,-1.0,HIT BETTER
A,A+4+4+7,16,2,18,9.0,2.0,-7.0,HIT BETTER
A,A+4+4+7,16,3,19,9.0,0.0,-9.0,HIT BETTER
A,A+4+4+8,17,A,18,7.0,3.0,-4.0,HIT BETTER
A,A+4+4+8,17,2,19,7.0,0.0,-7.0,HIT BETTER
A,A+4+4+8,17,3,20,7.0,0.0,-7.0,HIT BETTER
A,A+4+4+9,18,A,19,0.0,0.0,0.0,no difference
A,A+4+4+9,18,2,20,0.0,0.0,0.0,no difference
A,A+4+4+10,19,A,20,0.0,0.0,0.0,no difference
A,A+4+4+J,19,A,20,0.0,0.0,0.0,no difference
A,A+4+4+Q,19,A,20,0.0,0.0,0.0,no difference
A,A+4+4+K,19,A,20,0.0,0.0,0.0,no difference
A,A+4+5+5,15,A,16,11.0,7.0,-4.0,HIT BETTER
A,A+4+5+5,15,2,17,11.0,3.0,-8.0,HIT BETTER
A,A+4+5+5,15,3,18,11.0,1.0,-10.0,HIT BETTER
A,A+4+5+5,15,4,19,11.0,0.0,-11.0,HIT BETTER
A,A+4+5+6,16,A,17,8.0,7.0,-1.0,HIT BETTER
A,A+4+5+6,16,2,18,8.0,2.0,-6.0,HIT BETTER
A,A+4+5+6,16,3,19,8.0,0.0,-8.0,HIT BETTER
A,A+4+5+6,16,4,20,8.0,0.0,-8.0,HIT BETTER
A,A+4+5+7,17,A,18,5.0,2.0,-3.0,HIT BETTER
A,A+4+5+7,17,2,19,5.0,0.0,-5.0,HIT BETTER
A,A+4+5+7,17,3,20,5.0,0.0,-5.0,HIT BETTER
A,A+4+5+8,18,A,19,1.0,0.0,-1.0,HIT BETTER
A,A+4+5+8,18,2,20,1.0,0.0,-1.0,HIT BETTER
A,A+4+5+9,19,A,20,0.0,0.0,0.0,no difference
A,A+4+6+6,17,A,18,7.0,2.0,-5.0,HIT BETTER
A,A+4+6+6,17,2,19,7.0,1.0,-6.0,HIT BETTER
A,A+4+6+6,17,3,20,7.0,0.0,-7.0,HIT BETTER
A,A+4+6+7,18,A,19,3.0,1.0,-2.0,HIT BETTER
A,A+4+6+7,18,2,20,3.0,0.0,-3.0,HIT BETTER
A,A+4+6+8,19,A,20,0.0,0.0,0.0,no difference
A,A+4+7+7,19,A,20,0.0,0.0,0.0,no difference
A,A+5+5+6,17,A,18,8.0,0.0,-8.0,HIT BETTER
A,A+5+5+6,17,2,19,8.0,0.0,-8.0,HIT BETTER
A,A+5+5+6,17,3,20,8.0,0.0,-8.0,HIT BETTER
A,A+5+5+7,18,A,19,1.0,0.0,-1.0,HIT BETTER
A,A+5+5+7,18,2,20,1.0,0.0,-1.0,HIT BETTER
A,A+5+5+8,19,A,20,0.0,0.0,0.0,no difference
A,A+5+6+6,18,A,19,2.0,0.0,-2.0,HIT BETTER
A,A+5+6+6,18,2,20,2.0,0.0,-2.0,HIT BETTER
A,A+5+6+7,19,A,20,0.0,0.0,0.0,no difference
A,2+2+3+5,12,A,13,17.0,17.0,0.0,no difference
A,2+2+3+5,12,3,15,17.0,12.0,-5.0,HIT BETTER
A,2+2+3+5,12,4,16,17.0,6.0,-11.0,HIT BETTER
A,2+2+3+5,12,5,17,17.0,4.0,-13.0,HIT BETTER
A,2+2+3+5,12,6,18,17.0,1.0,-16.0,HIT BETTER
A,2+2+3+5,12,7,19,17.0,0.0,-17.0,HIT BETTER
A,2+2+3+5,12,8,20,17.0,0.0,-17.0,HIT BETTER
A,2+2+3+6,13,A,14,15.0,14.0,-1.0,HIT BETTER
A,2+2+3+6,13,3,16,15.0,8.0,-7.0,HIT BETTER
A,2+2+3+6,13,4,17,15.0,4.0,-11.0,HIT BETTER
A,2+2+3+6,13,5,18,15.0,1.0,-14.0,HIT BETTER
A,2+2+3+6,13,6,19,15.0,0.0,-15.0,HIT BETTER
A,2+2+3+6,13,7,20,15.0,0.0,-15.0,HIT BETTER
A,2+2+3+7,14,A,15,13.0,10.0,-3.0,HIT BETTER
A,2+2+3+7,14,3,17,13.0,2.0,-11.0,HIT BETTER
A,2+2+3+7,14,4,18,13.0,2.0,-11.0,HIT BETTER
A,2+2+3+7,14,5,19,13.0,0.0,-13.0,HIT BETTER
A,2+2+3+7,14,6,20,13.0,0.0,-13.0,HIT BETTER
A,2+2+3+8,15,A,16,9.0,7.0,-2.0,HIT BETTER
A,2+2+3+8,15,3,18,9.0,1.0,-8.0,HIT BETTER
A,2+2+3+8,15,4,19,9.0,0.0,-9.0,HIT BETTER
A,2+2+3+8,15,5,20,9.0,0.0,-9.0,HIT BETTER
A,2+2+3+9,16,A,17,7.0,3.0,-4.0,HIT BETTER
A,2+2+3+9,16,3,19,7.0,0.0,-7.0,HIT BETTER
A,2+2+3+9,16,4,20,7.0,0.0,-7.0,HIT BETTER
A,2+2+3+10,17,A,18,1.0,0.0,-1.0,HIT BETTER
A,2+2+3+10,17,3,20,1.0,0.0,-1.0,HIT BETTER
A,2+2+3+J,17,A,18,1.0,0.0,-1.0,HIT BETTER
A,2+2+3+J,17,3,20,1.0,0.0,-1.0,HIT BETTER
A,2+2+3+Q,17,A,18,1.0,0.0,-1.0,HIT BETTER
A,2+2+3+Q,17,3,20,1.0,0.0,-1.0,HIT BETTER
A,2+2+3+K,17,A,18,1.0,0.0,-1.0,HIT BETTER
A,2+2+3+K,17,3,20,1.0,0.0,-1.0,HIT BETTER
A,2+2+4+4,12,A,13,18.0,17.0,-1.0,HIT BETTER
A,2+2+4+4,12,3,15,18.0,10.0,-8.0,HIT BETTER
A,2+2+4+4,12,5,17,18.0,2.0,-16.0,HIT BETTER
A,2+2+4+4,12,6,18,18.0,2.0,-16.0,HIT BETTER
A,2+2+4+4,12,7,19,18.0,0.0,-18.0,HIT BETTER
A,2+2+4+4,12,8,20,18.0,0.0,-18.0,HIT BETTER
A,2+2+4+5,13,A,14,15.0,13.0,-2.0,HIT BETTER
A,2+2+4+5,13,3,16,15.0,6.0,-9.0,HIT BETTER
A,2+2+4+5,13,4,17,15.0,2.0,-13.0,HIT BETTER
A,2+2+4+5,13,5,18,15.0,1.0,-14.0,HIT BETTER
A,2+2+4+5,13,6,19,15.0,1.0,-14.0,HIT BETTER
A,2+2+4+5,13,7,20,15.0,0.0,-15.0,HIT BETTER
A,2+2+4+6,14,A,15,15.0,12.0,-3.0,HIT BETTER
A,2+2+4+6,14,3,17,15.0,4.0,-11.0,HIT BETTER
A,2+2+4+6,14,4,18,15.0,2.0,-13.0,HIT BETTER
A,2+2+4+6,14,5,19,15.0,1.0,-14.0,HIT BETTER
A,2+2+4+6,14,6,20,15.0,0.0,-15.0,HIT BETTER
A,2+2+4+7,15,A,16,9.0,9.0,0.0,no difference
A,2+2+4+7,15,3,18,9.0,2.0,-7.0,HIT BETTER
A,2+2+4+7,15,4,19,9.0,0.0,-9.0,HIT BETTER
A,2+2+4+7,15,5,20,9.0,0.0,-9.0,HIT BETTER
A,2+2+4+8,16,A,17,7.0,6.0,-1.0,HIT BETTER
A,2+2+4+8,16,3,19,7.0,0.0,-7.0,HIT BETTER
A,2+2+4+8,16,4,20,7.0,0.0,-7.0,HIT BETTER
A,2+2+4+9,17,A,18,2.0,2.0,0.0,no difference
A,2+2+4+9,17,3,20,2.0,0.0,-2.0,HIT BETTER
A,2+2+4+10,18,A,19,0.0,0.0,0.0,no difference
A,2+2+4+J,18,A,19,0.0,0.0,0.0,no difference
A,2+2+4+Q,18,A,19,0.0,0.0,0.0,no difference
A,2+2+4+K,18,A,19,0.0,0.0,0.0,no difference
A,2+2+5+5,14,A,15,15.0,13.0,-2.0,HIT BETTER
A,2+2+5+5,14,3,17,15.0,4.0,-11.0,HIT BETTER
A,2+2+5+5,14,4,18,15.0,1.0,-14.0,HIT BETTER
A,2+2+5+5,14,6,20,15.0,0.0,-15.0,HIT BETTER
A,2+2+5+6,15,A,16,9.0,8.0,-1.0,HIT BETTER
A,2+2+5+6,15,3,18,9.0,1.0,-8.0,HIT BETTER
A,2+2+5+6,15,4,19,9.0,1.0,-8.0,HIT BETTER
A,2+2+5+6,15,5,20,9.0,0.0,-9.0,HIT BETTER
A,2+2+5+7,16,A,17,8.0,7.0,-1.0,HIT BETTER
A,2+2+5+7,16,3,19,8.0,0.0,-8.0,HIT BETTER
A,2+2+5+7,16,4,20,8.0,0.0,-8.0,HIT BETTER
A,2+2+5+8,17,A,18,6.0,0.0,-6.0,HIT BETTER
A,2+2+5+8,17,3,20,6.0,0.0,-6.0,HIT BETTER
A,2+2+5+9,18,A,19,0.0,0.0,0.0,no difference
A,2+2+5+10,19,A,20,0.0,0.0,0.0,no difference
A,2+2+5+J,19,A,20,0.0,0.0,0.0,no difference
A,2+2+5+Q,19,A,20,0.0,0.0,0.0,no difference
A,2+2+5+K,19,A,20,0.0,0.0,0.0,no difference
A,2+2+6+6,16,A,17,11.0,7.0,-4.0,HIT BETTER
A,2+2+6+6,16,3,19,11.0,0.0,-11.0,HIT BETTER
A,2+2+6+6,16,4,20,11.0,0.0,-11.0,HIT BETTER
A,2+2+6+7,17,A,18,5.0,2.0,-3.0,HIT BETTER
A,2+2+6+7,17,3,20,5.0,0.0,-5.0,HIT BETTER
A,2+2+6+8,18,A,19,1.0,0.0,-1.0,HIT BETTER
A,2+2+6+9,19,A,20,0.0,0.0,0.0,no difference
A,2+2+7+7,18,A,19,1.0,0.0,-1.0,HIT BETTER
A,2+2+7+8,19,A,20,0.0,0.0,0.0,no difference
A,2+3+3+4,12,A,13,17.0,16.0,-1.0,HIT BETTER
A,2+3+3+4,12,2,14,17.0,12.0,-5.0,HIT BETTER
A,2+3+3+4,12,4,16,17.0,7.0,-10.0,HIT BETTER
A,2+3+3+4,12,5,17,17.0,2.0,-15.0,HIT BETTER
A,2+3+3+4,12,6,18,17.0,1.0,-16.0,HIT BETTER
A,2+3+3+4,12,7,19,17.0,0.0,-17.0,HIT BETTER
A,2+3+3+4,12,8,20,17.0,0.0,-17.0,HIT BETTER
A,2+3+3+5,13,A,14,17.0,14.0,-3.0,HIT BETTER
A,2+3+3+5,13,2,15,17.0,12.0,-5.0,HIT BETTER
A,2+3+3+5,13,4,17,17.0,2.0,-15.0,HIT BETTER
A,2+3+3+5,13,5,18,17.0,1.0,-16.0,HIT BETTER
A,2+3+3+5,13,6,19,17.0,0.0,-17.0,HIT BETTER
A,2+3+3+5,13,7,20,17.0,0.0,-17.0,HIT BETTER
A,2+3+3+6,14,A,15,15.0,9.0,-6.0,HIT BETTER
A,2+3+3+6,14,2,16,15.0,8.0,-7.0,HIT BETTER
A,2+3+3+6,14,4,18,15.0,1.0,-14.0,HIT BETTER
A,2+3+3+6,14,5,19,15.0,0.0,-15.0,HIT BETTER
A,2+3+3+6,14,6,20,15.0,0.0,-15.0,HIT BETTER
A,2+3+3+7,15,A,16,9.0,7.0,-2.0,HIT BETTER
A,2+3+3+7,15,2,17,9.0,2.0,-7.0,HIT BETTER
A,2+3+3+7,15,4,19,9.0,0.0,-9.0,HIT BETTER
A,2+3+3+7,15,5,20,9.0,0.0,-9.0,HIT BETTER
A,2+3+3+8,16,A,17,4.0,2.0,-2.0,HIT BETTER
A,2+3+3+8,16,2,18,4.0,1.0,-3.0,HIT BETTER
A,2+3+3+8,16,4,20,4.0,0.0,-4.0,HIT BETTER
A,2+3+3+9,17,A,18,2.0,1.0,-1.0,HIT BETTER
A,2+3+3+9,17,2,19,2.0,0.0,-2.0,HIT BETTER
A,2+3+3+10,18,A,19,0.0,0.0,0.0,no difference
A,2+3+3+10,18,2,20,0.0,0.0,0.0,no difference
A,2+3+3+J,18,A,19,0.0,0.0,0.0,no difference
A,2+3+3+J,18,2,20,0.0,0.0,0.0,no difference
A,2+3+3+Q,18,A,19,0.0,0.0,0.0,no difference
A,2+3+3+Q,18,2,20,0.0,0.0,0.0,no difference
A,2+3+3+K,18,A,19,0.0,0.0,0.0,no difference
A,2+3+3+K,18,2,20,0.0,0.0,0.0,no difference
A,2+3+4+4,13,A,14,15.0,14.0,-1.0,HIT BETTER
A,2+3+4+4,13,2,15,15.0,10.0,-5.0,HIT BETTER
